カラム名2,H29項目タイトル,小4,小5,小6,中1,中2,中3
q47,授業ではよい評価をもらえるだろうと信じている,0,0,Q00000002010,0,0,Q00000004690
q48,教科書の中で一番難しい問題も理解できると思う,0,0,Q00000002020,0,0,Q00000004700
q49,授業で教えてもらった基本的なことは理解できたと思う,0,0,Q00000002030,0,0,Q00000004710
q50,先生が出した一番難しい問題も理解できると思う,0,0,Q00000002040,0,0,Q00000004720
q51,学校の宿題や試験でよい成績をとることができると思う,0,0,Q00000002050,0,0,Q00000004730
q52,学校でよい成績をとることができるだろうと思う,0,0,Q00000002060,0,0,Q00000004740
q53,授業で教えてもらったことは使いこなせると思う,0,0,Q00000002070,0,0,Q00000004750
q54,授業の難しさ，先生のこと，自分の実力のことなどを考えれば，自分はこの授業でよくやっているほうだと思う,0,0,Q00000002080,0,0,Q00000004760
q55,うっかりまちがえたりミスしたりしないように，やるべきことをやります,0,0,0,Q00000002850,0,0
q56,ものごとは楽しみながらがんばってやります,0,0,0,Q00000002860,0,0
q57,自分がやるべきことにはきちんと関わります,0,0,0,Q00000002870,0,0
q58,授業中は自分がやっていることに集中します,0,0,0,Q00000002880,0,0
q59,宿題が終わったとき，ちゃんとできたかどうか何度も確認をします,0,0,0,Q00000002890,0,0
q60,ルールや順番は守ります,0,0,0,Q00000002900,0,0
q61,だれかと約束をしたら，それを守ります,0,0,0,Q00000002910,0,0
q62,自分の部屋や机の周りはちらかっています,0,0,0,Q00000002920,0,0
q63,何かを始めたら，絶対終わらせなければいけません,0,0,0,Q00000002930,0,0
q64,学校で使うものはきちんと整理しておくほうです,0,0,0,Q00000002940,0,0
q65,宿題を終わらせてから，遊びます,0,0,0,Q00000002950,0,0
q66,気が散ってしまうことはあまりありません,0,0,0,Q00000002960,0,0
q67,やらないといけないことはきちんとやります,0,0,0,Q00000002970,0,0
q193,大きなか題をやりとげるために，しっぱいをのりこえてきました,Q00000000290,0,0,0,0,0
q194,新しい考えや計画を思いつくと，前のことからは気がそれてしまうことがあります,Q00000000300,0,0,0,0,0
q195,きょう味をもっていることやかん心のあることは，毎年かわります,Q00000000310,0,0,0,0,0
q196,しっぱいしても，やる気がなくなってしまうことはありません,Q00000000320,0,0,0,0,0
q197,少しの間，ある考えや計画のことで頭がいっぱいになっても，しばらくするとあきてしまいます,Q00000000330,0,0,0,0,0
q198,何事にもよくがんばるほうです,Q00000000340,0,0,0,0,0
q199,いったん目ひょうを決めてから，その後べつの目ひょうにかえることがよくあります,Q00000000350,0,0,0,0,0
q200,終わるまでに何か月もかかるようなことに集中しつづけることができません,Q00000000360,0,0,0,0,0
q201,始めたことは何でもさい後まで終わらせます,Q00000000370,0,0,0,0,0
q202,何年もかかるような目ひょうをやりとげてきました,Q00000000380,0,0,0,0,0
q203,数か月ごとに，新しいことにきょう味を持ちます,Q00000000390,0,0,0,0,0
q204,まじめにコツコツとやるタイプです,Q00000000400,0,0,0,0,0
q205,学校の友達に認められることは大事なことですか,Q00000000450,Q00000001290,Q00000002130,Q00000003020,Q00000003860,Q00000004810
q206,小学校の入学前に保育園に通っていましたか,Q00000000470,Q00000001310,Q00000002150,Q00000003040,Q00000003880,Q00000004830
q207,小学校の入学前に幼稚園に通っていましたか,Q00000000460,Q00000001300,Q00000002140,Q00000003030,Q00000003870,Q00000004820
q68,自分には，よいところがあると思いますか,Q00000000410,Q00000001250,Q00000002090,Q00000002980,Q00000003820,Q00000004770
q69,難しいことでも失敗をおそれないで挑戦していますか,Q00000000420,Q00000001260,Q00000002100,Q00000002990,Q00000003830,Q00000004780
q70,埼玉県や今住んでいる市町村の歴史や自然に関心を持っていますか,Q00000000430,Q00000001270,Q00000002110,Q00000003000,Q00000003840,Q00000004790
q71,将来の夢や目標を持っていますか,Q00000000440,Q00000001280,Q00000002120,Q00000003010,Q00000003850,Q00000004800
q72,,,,,,,
q73,,,,,,,
q74,,,,,,,
q75,自分が将来，職業や仕事に就くために役立つことが学べること,0,0,0,0,Q00000003890,Q00000004840
q76,自分がやりたい勉強や部活動ができること,0,0,0,0,Q00000003900,Q00000004850
q77,自分の学力に合っていること,0,0,0,0,Q00000003910,Q00000004860
q78,自分の個性や特技が生かせること,0,0,0,0,Q00000003920,Q00000004870
q79,中学校の先生の話,0,0,0,0,Q00000003930,Q00000004880
q80,家の人の話,0,0,0,0,Q00000003940,Q00000004890
q81,高校の見学会などに参加し，自分で進路先を見ること,0,0,0,0,Q00000003950,Q00000004900
q82,友達や先輩の話,0,0,0,0,Q00000003960,Q00000004910
q83,学級での生活は楽しかったですか,Q00000000480,Q00000001440,Q00000002280,Q00000003050,Q00000004090,Q00000005040
q84,学級は落ち着いて学習する雰囲気がありましたか,Q00000000490,Q00000001450,Q00000002290,Q00000003060,Q00000004100,Q00000005050
q85,,,,,,,
q86,学校の友達は自分のよいところを認めてくれましたか,Q00000000530,Q00000001490,Q00000002330,Q00000003100,Q00000004140,Q00000005090
q87,学校の先生たちは自分の悩みの相談にのってくれましたか,Q00000000520,Q00000001480,Q00000002320,Q00000003090,Q00000004130,Q00000005080
q208,学校の先生たちは自分のよいところを認めてくれましたか,Q00000000510,Q00000001470,Q00000002310,Q00000003080,Q00000004120,Q00000005070
q209,あなたの学級は，いろいろな活動にまとまって取り組んでいたと思いますか（体育祭や合唱コンクールなどの学校行事も入ります）,Q00000000500,Q00000001460,Q00000002300,Q00000003070,Q00000004110,Q00000005060
q210,先生は，授業やテストで理解していないところや，間違えたところについて，わかるまで教えてくれましたか,Q00000000540,Q00000001500,Q00000002340,Q00000003110,Q00000004150,Q00000005100
q88,友達の考えを聞いて，文章の内容や表現の仕方がよくわかったこと,0,Q00000001510,0,Q00000003120,0,Q00000005110
q89,自分の考えを理由をつけて発表したり，書いたりできたこと,0,Q00000001520,0,Q00000003130,0,Q00000005120
q90,ノートやワークシート，プリントに書いた授業のまとめを先生に見てもらうこと,0,Q00000001530,0,Q00000003140,0,Q00000005130
q91,ドリルなどをすること,0,Q00000001540,0,Q00000003150,0,Q00000005140
q92,グループで活動するときに，一人の考えだけでなくみんなで考えを出し合って課題を解決すること,0,Q00000001550,0,Q00000003160,0,Q00000005150
q93,授業で課題を解決するときに，みんなでいろいろな考えを発表すること,0,Q00000001560,0,Q00000003170,0,Q00000005160
q94,授業の始めに，先生から，どうやったら課題を解決できるか考えるように言われること,0,Q00000001570,0,Q00000003180,0,Q00000005170
q95,授業の始めには気が付かなかった疑問が，授業の終わりに，頭に浮かんできたこと,0,Q00000001580,0,Q00000003190,0,Q00000005180
q96,課題を解決するときに，それまでに習ったことを思い出して解決できたこと,Q00000000550,0,Q00000002350,0,Q00000004160,0
q97,自分の考えを理由をつけて発表したり，書いたりできたこと,Q00000000560,0,Q00000002360,0,Q00000004170,0
q98,ノートやワークシート，プリントに書いた授業のまとめを先生に見てもらうこと,Q00000000570,0,Q00000002370,0,Q00000004180,0
q99,ドリルなどをすること,Q00000000580,0,Q00000002380,0,Q00000004190,0
q100,グループで活動するときに，一人の考えだけでなくみんなで考えを出し合って課題を解決すること,Q00000000590,0,Q00000002390,0,Q00000004200,0
q101,授業で課題を解決するときに，みんなでいろいろな考えを発表すること,Q00000000600,0,Q00000002400,0,Q00000004210,0
q102,授業の始めに，先生から，どうやったら課題を解決できるか考えるように言われること,Q00000000610,0,Q00000002410,0,Q00000004220,0
q103,授業の始めには気が付かなかった疑問が，授業の終わりに，頭に浮かんできたこと,Q00000000620,0,Q00000002420,0,Q00000004230,0
q104,授業で，友達と英語を使って活動することで，新しい英語の表現を使えるようになりましたか,0,0,0,0,Q00000004240,Q00000005190
q105,授業で，自分や友達の考えや気持ちなどについて，英語で聞く，話す，読む，書くなどの活動を行っていましたか,0,0,0,0,Q00000004250,Q00000005200
q106,授業で，英語を使って活動することで，自分も英語を使ってみたいと思うようになりましたか,0,0,0,0,Q00000004260,Q00000005210
q107,学校の宿題をしていますか,Q00000000630,Q00000001590,Q00000002430,Q00000003200,Q00000004270,Q00000005220
q108,学校の授業の予習や復習をしていますか,Q00000000640,Q00000001600,Q00000002440,Q00000003210,Q00000004280,Q00000005230
q109,学校の授業時間以外に，普段（月〜金曜日），１日当たりどれくらいの時間，勉強をしますか（学習塾で勉強している時間や家庭教師に教わっている時間も入ります）,Q00000000650,Q00000001610,Q00000002450,Q00000003220,Q00000004290,Q00000005240
q110,土曜日や日曜日など学校が休みの日に，１日当たりどれくらいの時間，勉強をしますか（学習塾で勉強している時間や家庭教師に教わっている時間も入ります）,Q00000000660,Q00000001620,Q00000002460,Q00000003230,Q00000004300,Q00000005250
q111,学習塾（家庭教師に教わっている場合も入ります）で１週間で，どのくらいの時間，勉強をしますか,Q00000000670,Q00000001630,Q00000002470,Q00000003240,Q00000004310,Q00000005260
q112,1か月に，何冊くらいの本を読みますか（教科書や参考書，まん画や雑誌は除きます）,Q00000000680,Q00000001640,Q00000002480,Q00000003250,Q00000004320,Q00000005270
q113,家には，自分や家の人が読む本がどれくらいありますか,Q00000000690,Q00000001650,Q00000002490,Q00000003260,Q00000004330,Q00000005280
q114,普段（月〜金曜日），１日当たりどれくらいの時間，テレビゲーム（コンピュータゲーム，携帯式のゲーム，携帯電話やスマートフォンを使ったゲームも入ります）をしますか,Q00000000700,Q00000001660,Q00000002500,Q00000003270,Q00000004340,Q00000005290
q115,テレビゲーム（コンピュータゲーム，携帯式のゲーム，携帯電話やスマートフォンを使ったゲームも入ります）をすることについて，家の人と約束を決めていますか,Q00000000710,Q00000001670,Q00000002510,Q00000003280,Q00000004350,Q00000005300
q116,普段（月〜金曜日），１日当たりどれくらいの時間，携帯電話やスマートフォンで通話やメール，インターネットをしますか（携帯電話やスマートフォンを使ってゲームをする時間は除きます）,Q00000000720,Q00000001680,Q00000002520,Q00000003290,Q00000004360,Q00000005310
q117,携帯電話やスマートフォンで通話やメール，インターネットをすることについて，家の人と約束を決めていますか（携帯電話やスマートフォンを使ってゲームをする時間は除きます）,Q00000000730,Q00000001690,Q00000002530,Q00000003300,Q00000004370,Q00000005320
q118,家の人(兄弟姉妹は除きます）と学校での出来事について話をしますか,Q00000000740,Q00000001700,Q00000002540,Q00000003310,Q00000004380,Q00000005330
q119,地域の大人（学校や塾・家庭教師・習い事の先生を除きます）に勉強やスポーツを教えてもらったり，一緒に遊んでもらったりすることがありますか,Q00000000750,Q00000001710,Q00000002550,Q00000003320,Q00000004390,Q00000005340
q120,授業や活動の始まる時刻を守ることができていますか,Q00000000770,Q00000001330,Q00000002170,Q00000003340,Q00000003980,Q00000004930
q121,登下校時刻を守ることができていますか,Q00000000760,Q00000001320,Q00000002160,Q00000003330,Q00000003970,Q00000004920
q122,脱いだはき物のかかとをそろえることができていますか,Q00000000780,Q00000001340,Q00000002180,Q00000003350,Q00000003990,Q00000004940
q123,机やロッカーの中，身の回りの整理整とんをすることができていますか,Q00000000790,Q00000001350,Q00000002190,Q00000003360,Q00000004000,Q00000004950
q124,だれに対しても進んで挨拶をすることができていますか,Q00000000800,Q00000001360,Q00000002200,Q00000003370,Q00000004010,Q00000004960
q125,名前を呼ばれたら「はい」とはっきり返事をすることができていますか,Q00000000810,Q00000001370,Q00000002210,Q00000003380,Q00000004020,Q00000004970
q126,時と場に応じた適切な言葉遣いができていますか,Q00000000820,Q00000001380,Q00000002220,Q00000003390,Q00000004030,Q00000004980
q127,相手の気持ちやその場の状況を考え，やさしい言葉遣いができていますか,Q00000000830,Q00000001390,Q00000002230,Q00000003400,Q00000004040,Q00000004990
q128,学習の準備を整え，授業に臨むことができていますか,Q00000000840,Q00000001400,Q00000002240,Q00000003410,Q00000004050,Q00000005000
q129,先生の話や友達の発表をしっかり聞き，自分の考えを伝えることができていますか,Q00000000850,Q00000001410,Q00000002250,Q00000003420,Q00000004060,Q00000005010
q130,人の集まるところでは静かにし，その場にふさわしい態度をとることができていますか,Q00000000860,Q00000001420,Q00000002260,Q00000003430,Q00000004070,Q00000005020
q131,進んで掃除や美化活動に取り組み，学校をきれいにすることができていますか,Q00000000870,Q00000001430,Q00000002270,Q00000003440,Q00000004080,Q00000005030
q132,,,,,,,
q133,,,,,,,
q134,,,,,,,
q135,,,,,,,
q136,,,,,,,
q137,,,,,,,
q138,あなたの生まれた月はいつですか,Q00000000882,Q00000001721,Q00000002561,Q00000003451,Q00000004402,Q00000005351
q138,あなたの生まれた月はいつですか,Q00000000881,Q00000001722,Q00000002562,Q00000003452,Q00000004401,Q00000005352
