カラム名2,大項目,中項目,R2項目タイトル,小4,小5,小6,中1,中2,中3
q53,,,授業で教えてもらったことは使いこなせると思う,,,Q00000002300,,,Q00000005070
q54,,,授業の難しさ，先生のこと，自分の実力のことなどを考えれば，自分はこの授業でよくやっているほうだと思う,,,Q00000002310,,,Q00000005080
q55,勤勉性,,うっかりまちがえたりミスしたりしないように，やるべきことをやります,Q00000000290,,,,,
q56,高いほど良い,,ものごとは楽しみながらがんばってやります,Q00000000300,,,,,
q57,,,自分がやるべきことにはきちんと関わります,Q00000000310,,,,,
q58,,,授業中は自分がやっていることに集中します,Q00000000320,,,,,
q59,,,宿題が終わったとき，ちゃんとできたかどうか何度も確認をします,Q00000000330,,,,,
q60,,,ルールや順番は守ります,Q00000000340,,,,,
q61,,,だれかと約束をしたら，それを守ります,Q00000000350,,,,,
q62,,,自分の部屋や机の周りはちらかっています,Q00000000360,,,,,
q63,,,何かを始めたら，絶対終わらせなければいけません,Q00000000370,,,,,
q64,,,学校で使うものはきちんと整理しておくほうです,Q00000000380,,,,,
q65,,,宿題を終わらせてから，遊びます,Q00000000390,,,,,
q66,,,気が散ってしまうことはあまりありません,Q00000000400,,,,,
q67,,,やらないといけないことはきちんとやります,Q00000000410,,,,,
q193,,GRIT,大きなか題をやりとげるために，しっぱいをのりこえてきました,,,,Q00000003140,,
q194,,,新しい考えや計画を思いつくと，前のことからは気がそれてしまうことがあります,,,,Q00000003150,,
q195,,,きょう味をもっていることやかん心のあることは，毎年かわります,,,,Q00000003160,,
q196,,,しっぱいしても，やる気がなくなってしまうことはありません,,,,Q00000003170,,
q197,,,少しの間，ある考えや計画のことで頭がいっぱいになっても，しばらくするとあきてしまいます,,,,Q00000003180,,
q198,,,何事にもよくがんばるほうです,,,,Q00000003190,,
q199,,,いったん目ひょうを決めてから，その後べつの目ひょうにかえることがよくあります,,,,Q00000003200,,
q200,,,終わるまでに何か月もかかるようなことに集中しつづけることができません,,,,Q00000003210,,
q201,,,始めたことは何でもさい後まで終わらせます,,,,Q00000003220,,
q202,,,何年もかかるような目ひょうをやりとげてきました,,,,Q00000003230,,
q203,,,数か月ごとに，新しいことにきょう味を持ちます,,,,Q00000003240,,
q204,,,まじめにコツコツとやるタイプです,,,,Q00000003250,,
q213,BIG5,Agreeableness,自分のものをほかの人といっしょに使います,,,,,,
q214,,Emotional Instability,ちょっとしたことでも，気になってそわそわします,,,,,,
q215,,Intellect/Openness,いろいろなことを知っています,,,,,,
q216,,Emotional Instability,きげんがわるいことが多いです,,,,,,
q217,,Energy/Extraversion,ほかの人ときょうそうするのはすきです,,,,,,
q218,,Intellect/Openness,学校で勉強する内ようはすらすらと理かいすることができます,,,,,,
q219,,Energy/Extraversion,かっぱつにうごき回るのがすきです,,,,,,
q220,,Intellect/Openness,先生のしつ問には正しく答えることができます,,,,,,
q221,,Agreeableness,もしだれかが自分にたいしてよくないことをしても，その人をゆるします,,,,,,
q222,,Conscientiousness,宿題が終わったとき，ちゃんとできたかどうか何度もかくにんをします,,,,,,
q223,,Conscientiousness,ルールやじゅん番は守ります,,,,,,
q224,,Emotional Instability,はらを立てやすいせいかくです,,,,,,
q225,,Intellect/Openness,先生がなにかについてせつ明をしているとき，それをすぐに理かいします,,,,,,
q226,,Conscientiousness,じぶんの部屋やつくえのまわりはちらかっています,,,,,,
q227,,Agreeableness,ほかの人たちのことをしんじています,,,,,,
q228,,Conscientiousness,学校で使うものはきちんと整理しておくほうです,,,,,,
q229,,Emotional Instability,カッとなって落ち着いていられないことが多いです,,,,,,
q230,,Agreeableness,自分のことをきらっている人にもやさしくします,,,,,,
q231,,Conscientiousness,宿題を終わらせてから，遊びます,,,,,,
q232,,Energy/Extraversion,じょうだんを言うのはすきです,,,,,,
q233,,Energy/Extraversion,すぐに友だちをつくることができます,,,,,,
q234,,Emotional Instability,ちょっとしたことでも心配になります,,,,,,
q235,,Intellect/Openness,すぐにものごとを理かいすることができます,,,,,,
q236,,Energy/Extraversion,しあわせで元気いっぱいです,,,,,,
q237,,Agreeableness,ほかの人に自分のものを使わせてあげます,,,,,,
q238,数学的リテラシー,数学的リテラシー,算数についての本を読むのが好き,,Q00000001200,Q00000002670,,,
q239,,,算数の授業が楽しみ,,Q00000001220,Q00000002680,,,
q240,,,算数の勉強をするのは楽しいから,,Q00000001230,Q00000002690,,,
q241,,,算数で学ぶ内容に興味がある,,Q00000001250,Q00000002700,,,
q242,,,つきたい仕事に役立ちそうだから、算数はがんばるかちがある,,Q00000001210,,,,
q243,,,仕事の可能性を広げてくれるから、算数は学びがいがある,,Q00000001240,,,,
q244,,,算数が大事な科目なのは、勉強したいことに必要だから,,Q00000001260,,,,
q245,,,算数でたくさんのことを学んで、仕事につくときに役立てたい,,Q00000001270,,,,
q246,,,算数の授業についていけないのではないかとよく心配になる【逆転項目】,,Q00000001280,,,,
q247,,,算数はまったくとくいではない【逆転項目】,,Q00000001290,,,,
q248,,,算数の宿題をやるとなると、とても気が重くなる【逆転項目】,,Q00000001300,,,,
q249,,,算数ではよいせいせきをとっている,,Q00000001310,,,,
q250,,,算数の問題をやっているとイライラする【逆転項目】,,Q00000001320,,,,
q251,,,算数はすぐわかる,,Q00000001330,,,,
q252,,,算数はとくい科目の一つだといつも思う,,Q00000001340,,,,
q253,,,算数の問題をとくとき、手も足も出ないと感じる【逆転項目】,,Q00000001350,,,,
q254,,,算数のじゅ業ではどんなむずかしい問題も理かいできる,,Q00000001360,,,,
q255,,,算数でひどいせいせきをとるのではないかと心配になる【逆転項目】,,Q00000001370,,,,
q256,批判的思考,批判的思考,いろいろな考えかたの人と接して、多くのことを学びたい【逆転項目】,,,,,,
q257,,,新しいことをつぎつぎと学びたい【逆転項目】,,,,,,
q258,,,人の意見を聞いたり本を読んだりするときは、事実か、意見かを区別する【逆転項目】,,,,,,
q259,,,２つの考えのうちどちらかに決めるときには、できるだけ多くの証拠を調べる【逆転項目】,,,,,,
q260,,,はっきりとした理由を考えて自分の行動を決める。【逆転項目】,,,,,,
q261,,,思い込みで判断しないようにいつも気をつけている【逆転項目】,,,,,,
q262,,,一つ二つの立場だけではなく、できるだけ多くの立場から考えようとする【逆転項目】,,,,,,
q263,,,話し合いをするときは、自分の意見と他の人の意見をくらべる【逆転項目】,,,,,,
q264,,,他の人も納得できるように、理由をつけて説明をしようとする【逆転項目】,,,,,,
q265,,,他の人の考えを自分の言葉でまとめてみる【逆転項目】,,,,,,
q266,,,授業では積極的に質問をする【逆転項目】,,,,,,
q267,,,授業の前に、前回の授業のまとめができるか自分でチェックする【逆転項目】,,,,,,
q268,,,前の授業で学んだことが、その日の授業でどのように使われているかを考える【逆転項目】,,,,,,
q269,,,その日の授業で何が大切なことかを考えながら授業を聞く【逆転項目】,,,,,,
q270,,,意見を聞くときは、話におかしなところがないか考えながら聞く【逆転項目】,,,,,,
q271,,,意見を聞くときは、話している人の思い込みが入っていないか考えながら聞く【逆転項目】,,,,,,
q272,,,授業で学んだことを、日常の生活や社会の問題にあてはめて考えてみる【逆転項目】,,,,,,
q273,,,授業で学んだことを使って、自分なりに新しいことを考えてみる【逆転項目】,,,,,,
q274,,,授業で学んだことのなかで大事なことを、自分の言葉でまとめてみる【逆転項目】,,,,,,
q275,,,授業で関心を持ったことについて、自分で本や資料集を調べてみる【逆転項目】,,,,,,
q205,あなた自身,他者からの承認,学校の友達に認められることは大事なことですか,Q00000000470,Q00000001510,Q00000002370,Q00000003310,Q00000004170,Q00000005140
q206,,就学前教育,小学校の入学前に保育園に通っていましたか,Q00000000490,Q00000001530,Q00000002390,Q00000003330,Q00000004190,Q00000005160
q207,,,小学校の入学前に幼稚園に通っていましたか,Q00000000480,Q00000001520,Q00000002380,Q00000003320,Q00000004180,Q00000005150
q68,,性格,自分には，よいところがあると思いますか,Q00000000420,Q00000001460,Q00000002320,Q00000003260,Q00000004120,Q00000005090
q69,,,難しいことでも失敗をおそれないで挑戦していますか,Q00000000430,Q00000001470,Q00000002330,Q00000003270,Q00000004130,Q00000005100
q70,,,埼玉県や今住んでいる市町村の歴史や自然に関心を持っていますか,Q00000000440,Q00000001480,Q00000002340,Q00000003280,Q00000004140,Q00000005110
q71,,,将来の夢や目標を持っていますか,Q00000000450,Q00000001490,Q00000002350,Q00000003290,Q00000004150,Q00000005120
q72,,,,,,,,,
q73,,希望教育年数,,,,,,,
q74,,,,,,,,,
q211,,,将来どの学校まで進みたいか,Q00000000460,Q00000001500,Q00000002360,Q00000003300,Q00000004160,Q00000005130
q75,,卒業後進路・重視,自分が将来，職業や仕事に就くために役立つことが学べること,,,,,,
q76,,,自分がやりたい勉強や部活動ができること,,,,,,
q77,,,自分の学力に合っていること,,,,,,
q78,,,自分の個性や特技が生かせること,,,,,,
q79,,参考にしたい情報,中学校の先生の話,,,,,,
q80,,,家の人の話,,,,,,
q81,,,高校の見学会などに参加し，自分で進路先を見ること,,,,,,
q82,,,友達や先輩の話,,,,,,
q212,,,調査実施科目でどれが好きか,Q00000000910,Q00000001950,Q00000002850,Q00000003750,Q00000004720,Q00000005690
q83,前学年の時,,学級での生活は楽しかったですか,Q00000000620,Q00000001660,Q00000002520,Q00000003460,Q00000004400,Q00000005370
q84,,,学級は落ち着いて学習する雰囲気がありましたか,Q00000000630,Q00000001670,Q00000002530,Q00000003470,Q00000004410,Q00000005380
q85,,,,,,,,,
q86,,,学校の友達は自分のよいところを認めてくれましたか,Q00000000670,Q00000001710,Q00000002570,Q00000003510,Q00000004450,Q00000005420
q87,,,学校の先生たちは自分の悩みの相談にのってくれましたか,Q00000000660,Q00000001700,Q00000002560,Q00000003500,Q00000004440,Q00000005410
q208,,,学校の先生たちは自分のよいところを認めてくれましたか,Q00000000650,Q00000001690,Q00000002550,Q00000003490,Q00000004430,Q00000005400
q209,,,あなたの学級は，いろいろな活動にまとまって取り組んでいたと思いますか（体育祭や合唱コンクールなどの学校行事も入ります）,Q00000000640,Q00000001680,Q00000002540,Q00000003480,Q00000004420,Q00000005390
q210,,,先生は，授業やテストで理解していないところや，間違えたところについて，わかるまで教えてくれましたか,Q00000000680,Q00000001720,Q00000002580,Q00000003520,Q00000004460,Q00000005430
q88,前学年国語,,友達の考えを聞いて，文章の内容や表現の仕方がよくわかったこと,Q00000000690,,Q00000002590,,Q00000004470,
q89,,,自分の考えを理由をつけて発表したり，書いたりできたこと,Q00000000700,,Q00000002600,,Q00000004480,
q90,,,ノートやワークシート，プリントに書いた授業のまとめを先生に見てもらうこと,Q00000000710,,Q00000002610,,Q00000004490,
q91,,,ドリルなどをすること,Q00000000720,,Q00000002620,,Q00000004500,
q92,,,グループで活動するときに，一人の考えだけでなくみんなで考えを出し合って課題を解決すること,Q00000000730,,Q00000002630,,Q00000004510,
q93,,,授業で課題を解決するときに，みんなでいろいろな考えを発表すること,Q00000000740,,Q00000002640,,Q00000004520,
q94,,,授業の始めに，先生から，どうやったら課題を解決できるか考えるように言われること,Q00000000750,,Q00000002650,,Q00000004530,
q95,,,授業の始めには気が付かなかった疑問が，授業の終わりに，頭に浮かんできたこと,Q00000000760,,Q00000002660,,Q00000004540,
q96,前学年算数,,課題を解決するときに，それまでに習ったことを思い出して解決できたこと,,Q00000001730,,Q00000003530,,Q00000005440
q97,,,自分の考えを理由をつけて発表したり，書いたりできたこと,,Q00000001740,,Q00000003540,,Q00000005450
q98,,,ノートやワークシート，プリントに書いた授業のまとめを先生に見てもらうこと,,Q00000001750,,Q00000003550,,Q00000005460
q99,,,ドリルなどをすること,,Q00000001760,,Q00000003560,,Q00000005470
q100,,,グループで活動するときに，一人の考えだけでなくみんなで考えを出し合って課題を解決すること,,Q00000001770,,Q00000003570,,Q00000005480
q101,,,授業で課題を解決するときに，みんなでいろいろな考えを発表すること,,Q00000001780,,Q00000003580,,Q00000005490
q102,,,授業の始めに，先生から，どうやったら課題を解決できるか考えるように言われること,,Q00000001790,,Q00000003590,,Q00000005500
q103,,,授業の始めには気が付かなかった疑問が，授業の終わりに，頭に浮かんできたこと,,Q00000001800,,Q00000003600,,Q00000005510
q104,前学年英語,,授業で，友達と英語を使って活動することで，新しい英語の表現を使えるようになりましたか,,,,,,
q105,,,授業で，自分や友達の考えや気持ちなどについて，英語で聞く，話す，読む，書くなどの活動を行っていましたか,,,,,,
q106,,,授業で，英語を使って活動することで，自分も英語を使ってみたいと思うようになりましたか,,,,,,
q107,家での生活,,学校の宿題をしていますか,,,,,,
q108,,,学校の授業の予習や復習をしていますか,,,,,,
q109,,,学校の授業時間以外に，普段（月?金曜日），１日当たりどれくらいの時間，勉強をしますか（学習塾で勉強している時間や家庭教師に教わっている時間も入ります）,,,,,,
q110,,,土曜日や日曜日など学校が休みの日に，１日当たりどれくらいの時間，勉強をしますか（学習塾で勉強している時間や家庭教師に教わっている時間も入ります）,,,,,,
q111,,,学習塾（家庭教師に教わっている場合も入ります）で１週間で，どのくらいの時間，勉強をしますか,,,,,,
q112,,,1か月に，何冊くらいの本を読みますか（教科書や参考書，まん画や雑誌は除きます）,,,,,,
q113,,,家には，自分や家の人が読む本がどれくらいありますか,,,,,,
q114,,,普段（月?金曜日），１日当たりどれくらいの時間，テレビゲーム（コンピュータゲーム，携帯式のゲーム，携帯電話やスマートフォンを使ったゲームも入ります）をしますか,,,,,,
q115,,,テレビゲーム（コンピュータゲーム，携帯式のゲーム，携帯電話やスマートフォンを使ったゲームも入ります）をすることについて，家の人と約束を決めていますか,,,,,,
q116,,,普段（月?金曜日），１日当たりどれくらいの時間，携帯電話やスマートフォンで通話やメール，インターネットをしますか（携帯電話やスマートフォンを使ってゲームをする時間は除きます）,,,,,,
q117,,,携帯電話やスマートフォンで通話やメール，インターネットをすることについて，家の人と約束を決めていますか（携帯電話やスマートフォンを使ってゲームをする時間は除きます）,,,,,,
q118,,,家の人(兄弟姉妹は除きます）と学校での出来事について話をしますか,,,,,,
q119,,,地域の大人（学校や塾・家庭教師・習い事の先生を除きます）に勉強やスポーツを教えてもらったり，一緒に遊んでもらったりすることがありますか,,,,,,
q120,生活の様子,,授業や活動の始まる時刻を守ることができていますか,,,,,,
q121,,,登下校時刻を守ることができていますか,,,,,,
q122,,,脱いだはき物のかかとをそろえることができていますか,,,,,,
q123,,,机やロッカーの中，身の回りの整理整とんをすることができていますか,,,,,,
q124,,,だれに対しても進んで挨拶をすることができていますか,,,,,,
q125,,,名前を呼ばれたら「はい」とはっきり返事をすることができていますか,,,,,,
q126,,,時と場に応じた適切な言葉遣いができていますか,,,,,,
q127,,,相手の気持ちやその場の状況を考え，やさしい言葉遣いができていますか,,,,,,
q128,,,学習の準備を整え，授業に臨むことができていますか,,,,,,
q129,,,先生の話や友達の発表をしっかり聞き，自分の考えを伝えることができていますか,,,,,,
q130,,,人の集まるところでは静かにし，その場にふさわしい態度をとることができていますか,,,,,,
q131,,,進んで掃除や美化活動に取り組み，学校をきれいにすることができていますか,,,,,,
q132,今回の調査問題,,,,,,,,
q133,,,,,,,,,
q134,,,,,,,,,
q135,,,,,,,,,
q136,,,,,,,,,
q137,,,,,,,,,
